@relation OPENJPA_trainingSet13-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Age numeric
@attribute 'Revision number' numeric
@attribute 'Fix number' numeric
@attribute 'Author Number' numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute Buggyness {no,yes}

@data
46,134,17,4,0,1,90,41,22.5,46,41,no
439,1259,17,6,0,2,849,403,141.5,441,403,no
319,969,17,8,0,2,644,307,80.5,325,307,no
55,167,17,6,0,1,111,50,18.5,59,50,no
150,446,17,5,0,2,298,136,59.6,150,136,no
137,411,17,5,0,2,274,133,54.8,137,133,no
258,830,17,5,0,2,544,242,108.8,282,242,no
74,242,17,4,0,1,158,71,39.5,74,71,no
87,253,17,4,0,1,170,81,42.5,87,81,no
32,90,17,4,0,1,61,28,15.25,32,28,no
232,672,17,4,0,1,452,216,113,232,216,no
145,423,17,4,0,1,284,137,71,145,137,no
242,738,17,7,0,2,490,226,70,254,226,no
592,1833,17,10,0,4,1213,563,121.3,643,563,yes
333,1045,17,6,0,2,689,307,114.833333,377,307,no
216,700,17,5,0,1,458,211,91.6,242,211,no
62,194,17,4,0,1,128,58,32,62,58,no
30,88,17,4,0,1,59,27,14.75,30,27,no
135,445,17,5,0,1,290,130,58,143,130,no
672,2036,17,8,0,2,1354,644,169.25,700,644,yes
465,1337,17,5,0,2,901,432,180.2,465,432,no
64,186,17,4,0,1,125,58,31.25,64,58,no
49,149,17,4,0,1,99,45,24.75,49,45,no
30,88,17,4,0,1,59,27,14.75,30,27,no
173,535,17,5,0,1,354,160,70.8,183,160,yes
79,243,17,4,0,1,161,74,40.25,83,74,no
56,170,17,5,0,1,113,52,22.6,58,52,no
36,108,17,4,0,1,72,32,18,36,32,no
46,130,17,4,0,1,88,41,22,46,41,no
48,136,17,4,0,1,92,43,23,48,43,no
1455,4223,17,7,0,2,2839,1336,405.571429,1475,1336,no
529,1589,17,7,0,2,1059,492,151.285714,547,492,no
138,416,17,4,0,1,277,135,69.25,138,135,no
529,1545,17,5,0,1,1037,498,207.4,531,498,no
72,216,17,4,0,1,144,69,36,72,69,no
24,68,17,4,0,1,46,20,11.5,24,20,no
72,216,17,4,0,1,144,69,36,72,69,no
1067,3365,17,9,0,4,2216,1024,246.222222,1117,1024,no
3525,10499,17,17,0,4,7012,3202,412.470588,3637,3202,yes
254,796,17,5,0,2,525,247,105,260,247,no
91,267,17,4,0,1,179,87,44.75,91,87,no
281,845,17,4,0,1,563,277,140.75,283,277,no
81,241,17,4,0,1,161,77,40.25,81,77,no
67,197,17,4,0,1,132,63,33,67,63,no
70,214,17,4,0,1,142,67,35.5,70,67,no
34,100,17,4,0,1,67,31,16.75,34,31,no
69,205,17,5,0,1,137,63,27.4,71,63,no
33,99,17,4,0,1,66,30,16.5,33,30,no
50,150,17,4,0,1,100,47,25,50,47,no
35,103,17,4,0,1,69,32,17.25,35,32,no
35,103,17,4,0,1,69,32,17.25,35,32,no
34,100,17,4,0,1,67,31,16.75,34,31,no
45,135,17,4,0,1,90,42,22.5,45,42,no
70,224,17,4,0,1,147,67,36.75,70,67,no
39,115,17,4,0,1,77,35,19.25,41,35,no
40,122,17,4,0,1,81,37,20.25,40,37,no
271,873,17,6,0,1,572,255,95.333333,291,255,no
36,104,17,4,0,1,70,33,17.5,36,33,no
185,531,17,4,0,1,358,164,89.5,185,164,no
583,1723,17,6,0,1,1153,553,192.166667,593,553,no
28,82,17,4,0,1,55,25,13.75,28,25,no
35,103,17,4,0,1,69,32,17.25,35,32,no
104,332,17,5,0,1,218,103,43.6,112,103,no
110,334,17,5,0,1,222,103,44.4,114,103,yes
34,98,17,4,0,1,66,30,16.5,34,30,no
40,124,17,4,0,1,82,37,20.5,40,37,no
34,98,17,4,0,1,66,31,16.5,34,31,no
183,561,17,5,0,1,372,175,74.4,191,175,yes
221,663,17,5,0,1,442,212,88.4,229,212,yes
57,213,17,4,0,1,135,52,33.75,73,52,no
59,199,17,5,0,1,129,55,25.8,67,55,no
61,227,17,5,0,2,144,61,28.8,71,61,no
35,103,17,4,0,1,69,32,17.25,35,32,no
888,2826,17,8,0,2,1857,869,232.125,996,869,yes
153,487,17,5,0,1,320,147,64,161,147,no
126,376,17,4,0,1,251,121,62.75,126,121,no
29,85,17,4,0,1,57,26,14.25,29,26,no
653,1971,17,7,0,2,1312,612,187.428571,681,612,yes
109,325,17,4,0,1,217,105,54.25,109,105,no
79,236,17,5,0,1,158,75,31.6,80,75,no
315,959,17,5,0,2,637,299,127.4,315,299,yes
169,521,17,6,0,2,345,154,57.5,171,154,no
196,576,17,5,0,2,386,188,77.2,196,188,no
330,1006,17,6,0,2,668,317,111.333333,340,317,no
501,1485,17,4,0,1,993,474,248.25,503,474,yes
35,103,17,4,0,1,69,32,17.25,35,32,no
38,114,17,4,0,1,76,35,19,38,35,yes
136,440,17,8,0,2,288,129,36,150,129,no
656,2060,17,4,0,1,1358,652,339.5,674,652,yes
101,305,17,4,0,1,203,97,50.75,101,97,no
4793,14875,17,12,0,3,9834,4565,819.5,5179,4565,yes
75,223,17,4,0,1,149,71,37.25,75,71,no
42,128,17,4,0,1,85,39,21.25,42,39,no
1345,4629,17,7,0,3,2987,1333,426.714286,1647,1333,yes
193,621,17,5,0,1,407,187,81.4,217,187,no
182,584,17,5,0,1,383,176,76.6,204,176,no
470,1574,17,8,0,3,1022,447,127.75,554,447,yes
653,2234,17,5,0,1,1444,649,288.8,792,649,no
434,1453,17,5,0,1,944,429,188.8,511,429,no
131,407,17,5,0,1,269,125,53.8,141,125,no
199,607,17,6,0,3,403,194,67.166667,199,194,no
811,2419,17,10,0,4,1615,768,161.5,833,768,yes
40,120,17,4,0,1,80,37,20,40,37,no
186,546,17,7,0,2,366,173,52.285714,196,173,no
917,2805,17,8,0,3,1861,901,232.625,945,901,no
590,1767,17,6,0,2,1179,583,196.5,591,583,no
82,251,17,4,0,1,167,79,41.75,85,79,no
80,242,17,4,0,1,161,76,40.25,82,76,no
70,215,17,4,0,1,143,67,35.75,73,67,no
86,263,17,4,0,1,175,83,43.75,89,83,no
75,230,17,4,0,1,153,71,38.25,78,71,no
740,2142,17,7,0,2,1441,627,205.857143,756,627,yes
88,272,17,4,0,1,180,85,45,92,85,no
348,1056,17,6,0,2,702,328,117,366,328,no
326,1106,17,9,0,3,716,312,79.555556,352,312,yes
698,2086,17,10,0,3,1392,410,139.2,708,410,yes
895,2673,17,11,0,2,1784,822,162.181818,909,822,no
40,126,17,5,0,1,83,37,16.6,40,37,no
79,244,17,4,0,1,162,76,40.5,82,76,no
62,188,17,4,0,1,125,58,31.25,64,58,no
406,1198,17,4,0,1,802,385,200.5,408,385,no
201,610,17,5,0,1,406,187,81.2,214,187,no
40,124,17,4,0,1,82,37,20.5,40,37,no
108,348,17,5,0,1,228,103,45.6,108,103,no
259,821,17,6,0,2,540,237,90,267,237,no
38,108,17,4,0,1,73,34,18.25,38,34,no
740,2230,17,6,0,2,1485,728,247.5,750,728,no
52,166,17,5,0,1,109,48,21.8,52,48,no
124,380,17,4,0,1,252,119,63,124,119,no
491,1576,17,6,0,2,1034,488,172.333333,500,488,no
107,318,17,4,0,1,213,102,53.25,108,102,no
104,348,17,5,0,2,226,102,45.2,112,102,no
308,918,17,5,0,2,613,294,122.6,308,294,yes
39,125,17,5,0,2,82,34,16.4,43,34,no
459,1430,17,5,0,1,945,453,189,474,453,no
81,248,17,4,0,1,165,78,41.25,84,78,no
36,110,17,4,0,1,73,32,18.25,38,32,no
87,263,17,4,0,1,175,83,43.75,89,83,no
86,263,17,4,0,1,175,83,43.75,89,83,no
88,269,17,4,0,1,179,85,44.75,91,85,no
35,107,17,4,0,1,71,31,17.75,37,31,no
91,275,17,4,0,1,183,87,45.75,93,87,no
86,260,17,4,0,1,173,82,43.25,88,82,no
76,228,17,4,0,1,152,72,38,78,72,no
65,202,17,4,0,1,134,62,33.5,68,62,no
59,180,17,4,0,1,120,56,30,62,56,no
118,363,17,5,0,2,241,114,48.2,123,114,no
189,590,17,4,0,1,390,187,97.5,198,187,no
284,896,17,5,0,1,590,282,118,294,282,no
53,167,17,4,0,1,110,50,27.5,53,50,no
2191,6691,17,9,0,2,4441,2108,493.444444,2319,2108,no
59,205,17,9,0,2,132,59,14.666667,71,59,no
48,152,17,5,0,1,100,45,20,48,45,no
77,251,17,6,0,2,164,74,27.333333,83,74,no
40,120,17,4,0,1,80,37,20,40,37,no
349,1037,17,5,0,1,693,330,138.6,357,330,no
207,599,17,4,0,1,403,190,100.75,209,190,no
213,629,17,4,0,1,421,201,105.25,215,201,yes
36,106,17,4,0,1,71,33,17.75,36,33,no
70,220,17,4,0,1,145,66,36.25,70,66,no
838,2462,17,5,0,2,1650,800,330,838,800,no
2988,9340,17,14,0,3,6164,2831,440.285714,3158,2831,yes
435,1393,17,7,0,3,914,430,130.571429,441,430,no
423,1473,17,9,0,3,948,416,105.333333,435,416,no
317,999,17,6,0,2,658,308,109.666667,321,308,no
59,180,17,4,0,1,120,55,30,62,55,no
70,215,17,4,0,1,143,67,35.75,73,67,no
37,115,17,4,0,1,76,33,19,39,33,no
64,190,17,4,0,1,127,59,31.75,64,59,no
135,405,17,4,0,1,270,131,67.5,137,131,no
36,110,17,4,0,1,73,32,18.25,38,32,no
63,183,17,4,0,1,123,58,30.75,63,58,no
63,183,17,4,0,1,123,58,30.75,63,58,no
330,968,17,8,0,3,649,310,81.125,336,310,yes
136,433,17,5,0,1,285,132,57,143,132,yes
67,199,17,5,0,2,133,60,26.6,69,60,no
482,1411,17,8,0,2,947,447,118.375,487,447,yes
24,24,17,1,0,1,24,24,24,24,24,no
38,112,17,4,0,1,75,34,18.75,38,34,no
94,284,17,6,0,2,189,84,31.5,96,84,no
69,221,17,5,0,1,145,65,29,69,65,no
90,278,17,6,0,2,184,82,30.666667,94,82,no
55,160,17,4,0,1,108,49,27,56,49,no
67,188,17,5,0,2,128,57,25.6,68,57,no
55,157,17,4,0,1,106,48,26.5,55,48,no
80,262,17,5,0,2,171,77,34.2,88,77,no
30,86,17,4,0,1,58,26,14.5,30,26,no
62,180,17,4,0,1,121,56,30.25,62,56,no
43,132,17,4,0,1,88,40,22,44,40,no
43,132,17,4,0,1,88,40,22,44,40,no
76,226,17,4,0,1,151,69,37.75,76,69,no
89,258,17,5,0,2,174,79,34.8,90,79,no
81,262,17,5,0,2,172,82,34.4,90,82,no
184,526,17,7,0,2,355,158,50.714286,202,158,no
73,235,17,5,0,2,154,70,30.8,77,70,no
82,224,17,5,0,2,153,68,30.6,82,68,no
68,221,17,6,0,2,145,64,24.166667,73,64,no
30,89,17,4,0,1,60,27,15,31,27,no
80,227,17,5,0,2,154,69,30.8,81,69,no
42,129,17,4,0,1,86,39,21.5,43,39,no
42,129,17,4,0,1,86,39,21.5,43,39,no
49,145,17,4,0,1,97,45,24.25,49,45,no
41,151,17,5,0,2,96,45,19.2,57,45,no
